original_title,director,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj
Metal: A Headbanger's Journey,Sam Dunn|Scot McFadyen|Jessica Joy Wise,Documentary|Music,24,8.0,2005,0.0,0.0
Bubble,Steven Soderbergh,Drama|Crime|Mystery,15,6.6,2005,1786501.26344719,0.0
The Devil and Daniel Johnston,Jeff Feuerzeig,Documentary,12,8.3,2005,0.0,0.0
Wassup Rockers,Larry Clark,Drama,12,5.9,2005,0.0,707983.751324383
Mon petit doigt m'a dit...,Pascal Thomas,Comedy|Mystery,13,5.7,2005,0.0,0.0
Quatre Ã©toiles,Christian Vincent,Comedy,15,5.9,2005,0.0,0.0
Paheli,Amol Palekar,Drama|Thriller|Science Fiction|Romance|Foreign,13,6.2,2005,0.0,0.0
Underworld: Evolution,Len Wiseman,Fantasy|Action|Science Fiction|Thriller,1015,6.3,2006,54083457.9145786,120433910.501179
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Adventure|Fantasy|Action,3181,6.8,2006,216333831.658314,1152691351.87119
Cars,John Lasseter|Joe Ranft,Animation|Adventure|Comedy|Family,2336,6.4,2006,129800298.994988,499712923.92372
Casino Royale,Martin Campbell,Adventure|Action|Thriller,2738,7.1,2006,162250373.74373502,647969539.331167
The Da Vinci Code,Ron Howard,Thriller|Mystery,1585,6.4,2006,135208644.786446,820164661.414297
Step Up,Anne Fletcher,Music|Drama|Romance|Crime,619,6.7,2006,12980029.8994988,123521044.035724
Ice Age: The Meltdown,Carlos Saldanha,Animation|Family|Comedy|Adventure,1775,6.4,2006,86533532.66332579,714919257.183175
Mission: Impossible III,J.J. Abrams,Adventure|Action|Thriller,1363,6.3,2006,162250373.74373502,430342087.606332
The Devil Wears Prada,David Frankel,Comedy|Drama|Romance,1773,7.0,2006,37858420.540205,353220246.986172
The Departed,Martin Scorsese,Drama|Thriller|Crime,2635,7.7,2006,97350224.24624152,313518943.434219
The Holiday,Nancy Meyers,Comedy|Romance,748,6.7,2006,91941878.45478372,210026294.295568
The Prestige,Christopher Nolan,Drama|Mystery|Thriller,2519,7.8,2006,43266766.33166289,118633483.003894
Night at the Museum,Shawn Levy,Action|Adventure|Comedy|Family|Fantasy,1572,6.2,2006,118983607.412073,621398207.739104
Babel,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Drama,606,6.7,2006,27041728.9572893,146382484.05538502
Children of Men,Alfonso CuarÃ³n,Drama|Action|Thriller|Science Fiction,1211,7.3,2006,82206856.0301595,75673304.978458
American Pie Presents: The Naked Mile,Joe Nussbaum,Comedy,289,5.3,2006,0.0,0.0
Superman Returns,Bryan Singer,Adventure|Fantasy|Action|Science Fiction,834,5.3,2006,292050672.73872405,423020463.774305
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,Comedy,979,6.4,2006,19470044.8492483,282935169.83449703
Click,Frank Coraci,Comedy|Drama|Fantasy|Romance,1273,5.9,2006,89237705.5590547,257092530.630977
Brother Bear 2,Ben Gluck,Animation|Comedy|Family|Adventure|Fantasy,172,6.4,2006,0.0,0.0
The Break-Up,Peyton Reed,Romance|Comedy,520,5.5,2006,56246796.2311617,221741837.805656
Inside Man,Spike Lee,Crime|Drama|Thriller,990,7.2,2006,48675112.1231207,199434107.473133
Over the Hedge,Tim Johnson|Karey Kirkpatrick,Comedy|Animation|Family,617,6.2,2006,86533532.66332579,167679639.016715
Perfume: The Story of a Murderer,Tom Tykwer,Crime|Fantasy|Drama,647,7.0,2006,54083457.9145786,142975378.722118
Blood Diamond,Edward Zwick,Drama|Thriller|Action,1394,7.2,2006,108166915.829157,184833371.570338
Alpha Dog,Nick Cassavetes,Crime|Drama,265,6.5,2006,0.0,16559599.8083714
Crank,Brian Taylor|Mark Neveldine,Action|Thriller|Crime,732,6.5,2006,12980029.8994988,46437182.983051
Lucky Number Slevin,Paul McGuigan,Drama|Thriller|Crime|Mystery,787,7.3,2006,29205067.2738724,60907579.91561031
Eight Below,Frank Marshall,Adventure|Drama|Family,328,6.6,2006,43266766.33166289,130293533.641154
Final Destination 3,James Wong,Horror|Mystery,535,5.8,2006,27041728.9572893,127333182.548652
Silent Hill,Christophe Gans,Horror|Mystery,580,6.3,2006,54083457.9145786,105578971.529494
She's the Man,Andy Fickman,Comedy|Drama|Family|Romance,395,6.3,2006,21633383.1658314,36656858.09073921
The Fountain,Darren Aronofsky,Drama|Adventure|Science Fiction|Romance,371,6.7,2006,37858420.540205,16554827.4840451
Happy Feet,George Miller,Music|Animation|Comedy|Family,876,5.8,2006,108166915.829157,415723973.606839
Rocky Balboa,Sylvester Stallone,Drama,455,6.4,2006,25960059.7989977,168438745.77865
Van Wilder 2: The Rise of Taj,Mort Nathan,Comedy,117,5.1,2006,0.0,6583587.98529492
Flushed Away,David Bowers|Sam Fell,Adventure|Animation|Comedy|Family,488,6.0,2006,161168704.585444,69723654.0817705
The Wild,Steve 'Spaz' Williams,Family|Animation,137,5.2,2006,86533532.66332579,40437169.5703534
DÃ©jÃ  Vu,Tony Scott,Action|Thriller|Science Fiction,862,6.5,2006,81125186.87186791,195303533.131688
Eragon,Stefen Fangmeier,Fantasy|Action|Adventure|Family,536,4.8,2006,108166915.829157,269647254.707451
The Lake House,Alejandro Agresti,Romance|Drama|Mystery,389,6.3,2006,43266766.33166289,124208189.511897
Scary Movie 4,David Zucker,Comedy,368,5.3,2006,48675112.1231207,192821178.13025
Monster House,Gil Kenan,Animation|Comedy|Family|Fantasy,501,6.3,2006,81125186.87186791,151622980.75353602
High School Musical,Kenny Ortega,Comedy|Drama|Family|Music|TV Movie,524,6.0,2006,4543010.464824599,0.0
Failure to Launch,Tom Dey,Comedy,242,5.6,2006,54083457.9145786,95960487.0583152
Apocalypto,Mel Gibson,Thriller|Action|Adventure|Drama,667,7.1,2006,43266766.33166289,129989904.781745
The Ant Bully,John A. Davis,Fantasy|Adventure|Animation|Comedy|Family,228,5.5,2006,54083457.9145786,59687725.35900871
The Hills Have Eyes,Alexandre Aja,Horror|Thriller,359,6.0,2006,16225037.3743735,75309823.03784399
Garfield 2,Tim Hill,Animation|Comedy|Family,260,5.2,2006,0.0,153274968.62888998
Just My Luck,Donald Petrie,Comedy|Drama|Family|Fantasy|Romance,271,5.7,2006,30286736.432164,41276392.3218363
The Good Shepherd,Robert De Niro,Drama|Thriller|History,174,5.9,2006,91941878.45478372,64801247.0780059
Ultraviolet,Kurt Wimmer,Science Fiction|Action|Thriller,256,5.0,2006,32450074.7487471,33607688.9803115
Penelope,Mark Palansky,Fantasy|Comedy|Romance,220,6.4,2006,16225037.3743735,0.0
Miami Vice,Michael Mann,Action|Adventure|Crime|Thriller,283,5.7,2006,146025336.36936203,177171468.68281102
John Tucker Must Die,Betty Thomas,Comedy,206,6.0,2006,19470044.8492483,44358894.149046
Tristan & Isolde,Kevin Reynolds,Drama,123,6.2,2006,33531743.907038696,30286736.432164
Flags of Our Fathers,Clint Eastwood,War|Drama|History,308,6.7,2006,97350224.24624152,71282266.867035
Shortbus,John Cameron Mitchell,Romance|Drama|Comedy,78,6.5,2006,2163338.31658314,5602004.59255091
Bordertown,Gregory Nava,Crime|Drama|Mystery,33,6.1,2006,22715052.324123006,0.0
Curious George,Matthew O'Callaghan,Adventure|Animation|Comedy|Family,68,5.8,2006,54083457.9145786,75538165.5604977
The Wicker Man,Neil LaBute,Mystery|Thriller|Horror,179,4.0,2006,43266766.33166289,41920167.1914384
Smokin' Aces,Joe Carnahan,Action|Comedy|Crime|Thriller,306,6.3,2006,18388375.690956693,61767522.0398203
Amazing Grace,Michael Apted,Drama,54,6.7,2006,0.0,0.0
RV,Barry Sonnenfeld,Comedy|Family|Adventure,251,5.7,2006,54083457.9145786,94676525.21570908
Glory Road,James Gartner,Drama,66,7.1,2006,0.0,46130430.2631127
We Are Marshall,McG,Drama,107,6.5,2006,70308495.2889522,47101677.2253801
The Illusionist,Neil Burger,Fantasy|Drama|Thriller|Romance,967,7.0,2006,43266766.33166289,94013293.28128771
The Pink Panther,Shawn Levy,Action|Comedy|Crime|Mystery|Family,307,5.6,2006,0.0,0.0
Beerfest,Jay Chandrasekhar,Comedy,88,5.8,2006,18929210.2701025,20746380.9242884
The Contract,Bruce Beresford,Drama|Action|Thriller|Crime,90,5.4,2006,27041728.9572893,6002398.49319159
All the King's Men,Steven Zaillian,Drama|Thriller,51,5.4,2006,59491803.7060365,10222743.803090302
Slither,James Gunn,Comedy|Horror|Science Fiction,133,6.1,2006,16765871.9535193,0.0
Big Momma's House 2,John Whitesell,Comedy|Crime,231,5.6,2006,43266766.33166289,149550563.219722
Basic Instinct 2,Michael Caton-Jones,Crime|Mystery|Thriller,101,4.5,2006,75716841.0804101,41784314.9535028
Clerks II,Kevin Smith,Comedy,195,6.9,2006,5408345.79145786,29084327.0357473
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,Comedy,274,6.2,2006,78421013.976139,176275487.505585
Undisputed II: Last Man Standing,Isaac Florentine,Action|Crime|Thriller,67,7.1,2006,0.0,0.0
The Pursuit of Happyness,Gabriele Muccino,Drama,1392,7.5,2006,59491803.7060365,332156039.213103
Marie Antoinette,Sofia Coppola,Drama|History,363,6.5,2006,43266766.33166289,65413228.44603829
Freedomland,Joe Roth,Drama|Thriller|Crime|Mystery,44,5.3,2006,40741068.847052,15852540.8029944
Lung fu moon,Wilson Yip,Action|Thriller,33,6.9,2006,0.0,0.0
Deck the Halls,John Whitesell,Comedy|Family,63,5.1,2006,0.0,51088391.7321103
The Fall,Tarsem Singh,Adventure|Fantasy|Drama,242,7.7,2006,0.0,3969147.11793038
The Last King of Scotland,Kevin Macdonald,Drama,274,7.3,2006,6490014.94974943,51950373.8843529
Saw III,Darren Lynn Bousman,Horror|Thriller|Crime,538,6.0,2006,10816691.5829157,177260496.544553
Idiocracy,Mike Judge,Adventure|Comedy|Science Fiction,326,6.1,2006,32450074.7487471,535753.97910929
Nacho Libre,Jared Hess,Comedy|Family,214,5.5,2006,34613413.0653303,86747695.58498341
The Black Dahlia,Brian De Palma,Drama,151,5.8,2006,54083457.9145786,53122072.5300274
Air Buddies,Robert Vince,Comedy|Family|Science Fiction,31,5.5,2006,9735022.42462415,0.0
Poseidon,Wolfgang Petersen,Adventure|Action|Drama|Thriller,313,5.3,2006,173067065.326651,196512046.38716495
American Dreamz,Paul Weitz,Comedy|Drama|Family,43,4.6,2006,18388375.690956693,7911357.42881183
The Butterfly Effect 2,John R. Leonetti,Drama|Science Fiction|Thriller,146,4.4,2006,0.0,0.0
Ultimate Avengers 2,Will Meugniot|Dick Sebast,Animation|Action|Science Fiction,39,6.3,2006,0.0,8545186.35050342
Fur: An Imaginary Portrait of Diane Arbus,Steven Shainberg,Drama|Mystery|Romance,33,6.3,2006,18172041.8592984,2467383.61861816
"You, Me and Dupree",Anthony Russo|Joe Russo,Comedy|Romance,242,5.3,2006,58410134.5477449,141083588.03937802
Little Miss Sunshine,Jonathan Dayton|Valerie Faris,Comedy|Drama,952,7.3,2006,8653353.26633258,108732824.581061
Little Man,Keenen Ivory Wayans,Comedy|Crime,143,5.6,2006,69226826.1306606,109892309.0186
The Fox and the Hound 2,Jim Kammerud,Adventure|Animation|Comedy|Family,59,5.6,2006,25960059.7989977,0.0
Leroy & Stitch,Tony Craig|Roberts Gannaway,Animation|Comedy|Family,34,6.6,2006,0.0,0.0
The Nativity Story,Catherine Hardwicke,Drama|History,16,6.5,2006,37858420.540205,0.0
Employee of the Month,Greg Coolidge,Comedy|Romance,82,5.4,2006,12980029.8994988,41502465.5025959
The Omen,John Moore,Drama|Horror|Thriller,154,5.2,2006,27041728.9572893,128922344.915954
Letters from Iwo Jima,Clint Eastwood,Action|Adventure|Drama|War,292,6.9,2006,20551714.0075398,74281712.72792521
Shark Bait,Howard E. Baker|John Fox|Kyungho Lee,Animation|Family,25,4.9,2006,0.0,0.0
A Scanner Darkly,Richard Linklater,Animation|Science Fiction|Thriller,282,6.7,2006,9194187.84547836,5928624.32991947
Save the Last Dance 2,David Petrarca,Drama|Family|Romance,46,5.3,2006,0.0,0.0
Stranger Than Fiction,Marc Forster,Comedy|Drama|Fantasy|Romance,378,6.9,2006,32450074.7487471,58035037.64370921
World Trade Center,Oliver Stone,Drama|History|Thriller,240,5.9,2006,68145156.972369,176253548.010047
The Santa Clause 3: The Escape Clause,Michael Lembeck,Comedy|Family|Adventure,143,5.1,2006,0.0,91401175.8392752
A Good Year,Ridley Scott,Comedy|Drama|Romance,199,6.4,2006,37858420.540205,45499445.0496383
Open Water 2: Adrift,Hans Horn,Drama|Horror|Thriller,67,5.0,2006,1298002.98994988,0.0
The Painted Veil,John Curran,Drama|Romance,159,6.9,2006,20984381.670856506,0.0
Snow Cake,Marc Evans,Romance|Drama,23,7.4,2006,12980029.8994988,1494504.41759092
Itâ€™s a Boy Girl Thing,Nick Hurran,Comedy,127,6.2,2006,16765871.9535193,7988596.17839796
Date Movie,Aaron Seltzer|Jason Friedberg,Comedy,103,3.9,2006,21633383.1658314,52513335.0878007
Accepted,Steve Pink,Comedy,229,6.1,2006,24878390.6407061,41649680.6750394
Grandma's Boy,Nicholaus Goossen,Comedy,116,6.6,2006,0.0,7072144.41235132
Open Season,Roger Allers|Jill Culton|Anthony Stacchi,Adventure|Animation|Family,395,6.1,2006,91941878.45478372,213423089.15841895
Bo bui gai wak,Benny Chan,Drama|Action|Comedy,61,6.4,2006,0.0,0.0
Barnyard,Steve Oedekerk,Animation|Comedy|Family,124,5.3,2006,55165127.0728702,78722799.67130229
Unknown,Simon Brand,Crime|Drama|Mystery|Thriller,44,6.4,2006,4002175.88567881,3610858.27094536
Bobby,Emilio Estevez,History|Drama,58,5.8,2006,0.0,0.0
Dreamgirls,Bill Condon,Drama,146,6.5,2006,75716841.0804101,167591309.913249
Snakes on a Plane,David R. Ellis,Horror|Action|Crime|Thriller,236,5.2,2006,35695082.2236219,67087299.6789281
Candy,Neil Armfield,Drama|Romance,75,6.9,2006,0.0,2247452.15533937
Friends with Money,Nicole Holofcener,Drama|Comedy|Romance,67,5.0,2006,7030849.52889522,14460225.9974639
Jackass Number Two,Jeff Tremaine,Action|Comedy|Documentary,180,6.4,2006,11898360.741207302,78722488.1505847
The Guardian,Andrew Davis,Action,212,7.0,2006,75716841.0804101,59504493.84860151
The Breed,Nicholas Mastandrea,Horror,39,4.9,2006,0.0,1812319.36801099
Southland Tales,Richard Kelly,Action|Adventure|Comedy|Drama|Science Fiction,79,4.9,2006,18388375.690956693,405347.94538565795
The Fast and the Furious: Tokyo Drift,Justin Lin,Action|Crime|Drama|Thriller,1074,6.1,2006,91941878.45478372,171410264.023543
Invincible,Ericson Core,Drama,125,6.5,2006,0.0,62527997.1132413
Miss Potter,Chris Noonan,Drama|Family|Romance,81,6.2,2006,32450074.7487471,37943051.416818894
Pulse,Jim Sonzero,Horror|Thriller,71,5.1,2006,41103428.01507971,32350220.4603994
Bambi II,Brian Pimental,Animation|Drama|Family,109,5.9,2006,0.0,0.0
Black Snake Moan,Craig Brewer,Drama,110,6.3,2006,16225037.3743735,11794353.9249609
Goya's Ghosts,MiloÅ¡ Forman,Drama,46,6.7,2006,54083457.9145786,10219698.9044097
Deep Sea 3D,Howard Hall,Documentary,16,5.7,2006,0.0,0.0
Stick It,Jessica Bendinger,Comedy|Drama,82,6.0,2006,0.0,0.0
Mercenary for Justice,Don E. FauntLeRoy,Action|Thriller,12,4.5,2006,16225037.3743735,0.0
The Hoax,Lasse HallstrÃ¶m,Comedy|Drama,22,6.5,2006,27041728.9572893,12733907.980890302
The Marine,John Bonito,Action|Adventure|Drama|Thriller,94,5.0,2006,21633383.1658314,23975854.5483809
Hollow Man II,Claudio FÃ¤h,Horror|Action|Thriller|Science Fiction,32,5.1,2006,0.0,0.0
Hatchet,Adam Green,Comedy|Horror,67,5.3,2006,0.0,0.0
Running with Scissors,Ryan Murphy,Drama|Comedy,35,5.6,2006,12980029.8994988,7306564.83400542
The Shaggy Dog,Brian Robbins,Comedy|Family,73,4.6,2006,54083457.9145786,66103956.4104635
Stormbreaker,Geoffrey Sax,Adventure|Action|Family,120,5.0,2006,43266766.33166289,25892855.694193
Madea's Family Reunion,Tyler Perry,Drama|Comedy|Romance,63,6.0,2006,6490014.94974943,61905574.39282391
Home of the Brave,Irwin Winkler,Action|Drama,27,5.7,2006,12980029.8994988,0.0
Half Light,Craig Rosenberg,Thriller,27,5.9,2006,0.0,0.0
Little Children,Todd Field,Romance|Drama,111,6.3,2006,28123398.1155808,0.0
The Benchwarmers,Dennis Dugan,Comedy,132,5.4,2006,0.0,0.0
Catch a Fire,Phillip Noyce,Action|Drama|Thriller,11,6.3,2006,0.0,4642486.16896689
Charlotte's Web,Gary Winick,Comedy|Family|Fantasy,161,6.0,2006,91941878.45478372,155.760358793986
Take the Lead,Liz Friedlander,Music,79,6.4,2006,32450074.7487471,37579421.2875302
Zoom,Peter Hewitt,Fantasy|Comedy|Family,84,5.1,2006,37858420.540205,13527557.8473961
Dr. Dolittle 3,Rich Thorne,Comedy|Family|Fantasy,48,4.8,2006,0.0,0.0
Barbie Fairytopia: Mermaidia,William Lau|Walter P. Martishius,Animation|Family|Adventure|Fantasy,46,6.3,2006,0.0,0.0
Mater and the Ghostlight,John Lasseter|Dan Scanlon,Animation|Family,48,6.4,2006,0.0,0.0
I'll Always Know What You Did Last Summer,Sylvain White,Horror,43,3.8,2006,0.0,0.0
Aquamarine,Elizabeth Allen Rosenbaum,Fantasy|Romance|Family|Comedy,216,5.9,2006,12980029.8994988,24885798.9927713
The Librarian: Return to King Solomon's Mines,Jonathan Frakes,Fantasy|Action|Adventure,61,5.7,2006,0.0,0.0
Shadow Man,Michael Keusch,Action|Adventure|Thriller,11,4.6,2006,0.0,0.0
Rescue Dawn,Werner Herzog,Adventure|Drama|War,158,6.6,2006,10816691.5829157,7763294.22774825
The Wind That Shakes the Barley,Ken Loach,Drama|History|War,71,6.5,2006,7030849.52889522,24758344.834180605
Big Nothing,Jean-Baptiste Andrea,Drama|Action|Comedy|Thriller|Crime,55,6.5,2006,0.0,0.0
16 Blocks,Richard Donner,Action|Adventure|Crime|Thriller,404,6.1,2006,59491803.7060365,71027503.49352092
Scoop,Woody Allen,Comedy|Mystery,208,6.2,2006,4326676.63316629,34164413.2793926
Calibre 45,Gary Lennon,Drama|Crime|Thriller,22,5.2,2006,5408345.79145786,0.0
Last Holiday,Wayne Wang,Adventure|Comedy|Drama,72,6.4,2006,48675112.1231207,41536053.4932992
The Last Kiss,Tony Goldwyn,Comedy|Drama|Romance,61,5.5,2006,21633383.1658314,0.0
Notes on a Scandal,Richard Eyre,Drama|Romance,119,6.3,2006,16225037.3743735,53510069.4204449
United 93,Paul Greengrass,Drama|History|Crime|Thriller|Action,180,6.6,2006,16225037.3743735,82516317.24967009
Kidulthood,Menhaj Huda,Drama,25,6.5,2006,1075179.14334182,178475.41111810898
DOA: Dead or Alive,Corey Yuen Kwai,Adventure|Action|Thriller,116,4.9,2006,22715052.324123006,519540.840095658
Something New,Sanaa Hamri,Comedy|Drama|Romance,26,6.2,2006,0.0,12331028.4045239
The Queen,Stephen Frears,Drama,159,6.6,2006,16225037.3743735,133460805.880299
The Thief Lord,Richard Claus,Adventure|Family|Foreign,36,5.7,2006,0.0,0.0
The Sentinel,Clark Johnson,Action|Thriller|Crime,112,5.6,2006,64900149.4974943,84284035.0716081
Man About Town,Mike Binder,Comedy|Drama|Romance,22,4.8,2006,0.0,0.0
The Good German,Steven Soderbergh,War|Crime|Drama|Mystery|Romance,46,5.8,2006,34613413.0653303,6397973.55773209
Flyboys,Tony Bill,Action|Adventure|Drama|History|Romance,179,6.1,2006,64900149.4974943,19253711.017589893
Lifted,Gary Rydstrom,Animation|Family,154,7.7,2006,0.0,0.0
My Super Ex-Girlfriend,Ivan Reitman,Fantasy|Drama|Action|Comedy|Crime,257,4.9,2006,0.0,65869484.06868979
Running Scared,Wayne Kramer,Action|Crime|Drama|Thriller,174,6.8,2006,16225037.3743735,10275857.0037699
No Time for Nuts,Chris Renaud|Mike Thurmeier,Adventure|Animation|Family,26,7.4,2006,0.0,0.0
Breaking and Entering,Anthony Minghella,Drama|Romance,29,6.5,2006,0.0,9707795.73024079
Wendy Wu: Homecoming Warrior,John Laing,Action|Adventure|Family|TV Movie,43,5.4,2006,6490014.94974943,0.0
Lonely Hearts,Todd Robinson,Drama|Thriller|Crime|Romance,42,5.9,2006,0.0,0.0
Fauteuils d'orchestre,DaniÃ¨le Thompson,Romance|Comedy|Drama|Foreign,19,6.2,2006,0.0,0.0
Shooting Dogs,Michael Caton-Jones,Drama|History,16,6.5,2006,0.0,0.0
Catch and Release,Susannah Grant,Comedy|Drama|Romance,58,6.0,2006,27041728.9572893,17478137.0325553
The Grudge 2,Takashi Shimizu,Horror|Thriller,151,5.3,2006,21633383.1658314,42340683.3834308
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,Horror,207,5.7,2006,17306706.5326651,0.0
Like Minds,Gregory J. Read,Mystery|Thriller|Crime|Horror,16,6.6,2006,0.0,0.0
Altered,Eduardo SÃ¡nchez,Horror|Science Fiction|Thriller,21,4.7,2006,8653353.26633258,0.0
Severance,Christopher Smith,Horror|Comedy|Thriller,66,6.3,2006,0.0,0.0
Second In Command,Simon Fellows,Action|Adventure|Thriller,17,5.1,2006,0.0,0.0
Cashback,Sean Ellis,Drama|Comedy|Romance,203,6.7,2006,0.0,2481663.81484593
10th & Wolf,Robert Moresco,Action|Crime|Drama|Mystery|Thriller,12,6.0,2006,8653353.26633258,155166.522426084
Copying Beethoven,Agnieszka Holland,Drama,24,5.9,2006,11898360.741207302,0.0
Firewall,Richard Loncraine,Thriller,145,5.4,2006,48675112.1231207,89562206.3065422
Seraphim Falls,David Von Ancken,Western|Drama,65,5.8,2006,19470044.8492483,1294008.38574831
10 Items or Less,Brad Silberling,Comedy|Drama,23,6.8,2006,0.0,627938.1514555321
The Ultimate Gift,Michael O. Sajbel,Romance|Drama|Family,43,6.8,2006,0.0,0.0
Eating Out 2: Sloppy Seconds,Phillip J. Bartell,Comedy|Romance,17,5.7,2006,0.0,0.0
The Little Matchgirl,Roger Allers,Drama|Animation,15,6.5,2006,0.0,0.0
Everyone's Hero,Christopher Reeve|Colin Brady|Dan St. Pierre,Action|Adventure|Animation|Comedy|Drama,30,5.6,2006,0.0,17985116.448715698
Sherrybaby,Laurie Collyer,Drama,14,6.5,2006,2163338.31658314,673670.041798941
Alatriste,AgustÃ­n DÃ­az Yanes,Action,31,5.7,2006,25960059.7989977,25226638.352894694
Tenacious D in The Pick of Destiny,Liam Lynch,Comedy|Music,206,6.2,2006,23796721.482414603,14500418.6600477
Hollywoodland,Allen Coulter,Drama|Thriller|Crime,37,6.1,2006,0.0,18176101.3636494
Ultimate Avengers,Curt Geda|Steven E. Gordon|Bob Richardson,Action|Animation|Science Fiction,51,6.4,2006,0.0,7247183.36055353
The Night Listener,Patrick Stettner,Drama|Thriller,15,4.7,2006,0.0,0.0
Man of the Year,Barry Levinson,Comedy|Drama|Romance|Thriller,64,5.4,2006,21633383.1658314,44605492.0020841
Nos jours heureux,Olivier Nakache|Eric Toledano,Comedy|Family,115,7.1,2006,0.0,0.0
The Covenant,Renny Harlin,Action|Adventure|Fantasy|Horror|Science Fiction,164,5.2,2006,21633383.1658314,40668024.8104618
Hellboy Animated: Sword of Storms,Phil Weinstein|Tad Stones,TV Movie|Fantasy|Animation|Action|Thriller,16,5.5,2006,0.0,0.0
Behind Enemy Lines II: Axis of Evil,James Dodson,Action|Adventure|Thriller,21,4.7,2006,0.0,0.0
Jeff Dunham: Arguing with Myself,Manny Rodriguez,Comedy,18,6.4,2006,0.0,0.0
Find Me Guilty,Sidney Lumet,Drama|Action|Comedy|Crime,61,6.3,2006,0.0,0.0
Rest Stop,John Shiban,Horror|Thriller,28,5.0,2006,0.0,0.0
NapolÃ©on (et moi),Paolo VirzÃ¬,Comedy|War|History,11,4.9,2006,0.0,0.0
La tourneuse de pages,Denis Dercourt|Rafaele Ravinet-Virbel,Drama|Music,18,6.5,2006,0.0,0.0
Happily N'Ever After,Paul Bolger|Yvette Kaplan|Greg Tiernan,Fantasy|Animation|Comedy|Science Fiction|Family,55,4.4,2006,0.0,0.0
The Oh in Ohio,Billy Kent,Comedy|Drama|Romance,14,5.6,2006,5408345.79145786,0.0
Elephants Dream,Bassam Kurdali,Animation|Science Fiction,14,6.0,2006,162250.373743735,0.0
When a Stranger Calls,Simon West,Horror|Thriller,123,5.4,2006,16225037.3743735,72436124.4616127
Infamous,Douglas McGrath,Drama,24,5.5,2006,14061699.0577904,1245358.15201583
Another Gay Movie,Todd Stephens,Comedy|Romance,28,5.1,2006,540834.579145786,806197.228741983
Skinwalkers,James Isaac,Fantasy|Action|Horror,32,4.6,2006,0.0,0.0
Love and Other Disasters,Alek Keshishian,Comedy|Romance,54,5.7,2006,0.0,0.0
Dhoom 2,Sanjay Gadhvi,Drama|Action|Thriller|Crime,43,6.5,2006,11898360.741207302,50185584.1408264
Black Christmas,Glen Morgan,Horror|Thriller,44,5.3,2006,9735022.42462415,23267624.0953054
The Astronaut Farmer,Michael Polish,Adventure|Comedy|Drama|Science Fiction,49,6.2,2006,14061699.0577904,12039939.3356669
La Sconosciuta,Giuseppe Tornatore,Drama|Mystery,21,7.5,2006,8653353.26633258,0.0
Fast Food Nation,Richard Linklater,Comedy|Drama|Thriller,51,5.7,2006,0.0,0.0
Slipp Jimmy Fri,Christopher Nielsen,Animation|Comedy|Foreign,11,4.9,2006,0.0,0.0
Sweeney Todd,David Moore,Drama|Horror|Thriller|Music,18,6.4,2006,0.0,0.0
Fido,Andrew Currie,Romance|Comedy|Drama|Horror,61,6.7,2006,8653353.26633258,461033.3553236671
The Abandoned,Nacho CerdÃ ,Horror|Thriller,18,5.2,2006,0.0,0.0
ATL,Christian Robinson,Drama,14,5.3,2006,21633383.1658314,22899545.060768694
Half Nelson,Ryan Fleck,Drama,117,6.2,2006,757168.4108041009,0.0
Bug,William Friedkin,Horror|Thriller,61,5.6,2006,4326676.63316629,8717323.18035394
Hard Luck,Mario Van Peebles,Crime|Drama|Thriller,12,5.3,2006,0.0,0.0
Lady in the Water,M. Night Shyamalan,Drama|Thriller|Fantasy|Mystery,187,5.2,2006,81125186.87186791,45738563.1604469
Unaccompanied Minors,Paul Feig,Comedy|Family,33,5.3,2006,28123398.1155808,0.0
Peaceful Warrior,Victor Salva,Drama|Romance,35,7.3,2006,0.0,0.0
Behind the Mask: The Rise of Leslie Vernon,Scott Glosserman,Comedy|Horror|Thriller,41,6.6,2006,0.0,74782.2789276461
Loving Annabelle,Katherine Brooks,Drama|Romance,27,6.6,2006,973502.242462415,0.0
The Detonator,Po-Chih Leong,Action|Thriller,20,4.4,2006,16225037.3743735,0.0
Material Girls,Martha Coolidge,Comedy|Drama|Romance,83,4.8,2006,0.0,12384720.2982032
London to Brighton,Paul Andrew Williams,Action|Crime|Drama|Foreign|Thriller,12,6.0,2006,0.0,0.0
Gridiron Gang,Phil Joanou,Action|Adventure|Crime|Drama,123,6.5,2006,32450074.7487471,44868557.186388105
Art School Confidential,Terry Zwigoff,Comedy|Drama,31,6.3,2006,0.0,0.0
Black Sheep,Jonathan King,Horror|Comedy,88,5.5,2006,0.0,5350179.03247073
Unrest,Jason Todd Ipson,Horror,21,5.2,2006,0.0,0.0
2:37,Murali K. Thalluri,Drama,29,7.2,2006,919418.7845478359,0.0
Wristcutters: A Love Story,Goran Dukic,Comedy|Drama|Fantasy|Romance,73,6.4,2006,0.0,0.0
Irresistible,Ann Turner,Drama|Mystery|Thriller,16,5.6,2006,0.0,0.0
Driving Lessons,Jeremy Brock,Comedy|Drama|Foreign,22,6.3,2006,0.0,0.0
